Date,SVENY01,SVENY03,SVENY05,SVENY07,SVENY10,SVENY15
1983-01-01,8.958390909090909,9.995631818181819,10.419318181818182,10.5496,10.567236363636363,10.712186363636365
1983-02-01,8.68717619047619,9.705971428571429,10.210004761904761,10.437885714285715,10.574014285714286,10.817457142857142
1983-03-01,8.968194736842106,9.969184210526317,10.437242105263158,10.636973684210526,10.764768421052631,11.075568421052632
1983-04-01,8.955082608695653,9.814152173913044,10.226430434782609,10.40861304347826,10.528882608695652,10.80823043478261
1983-05-01,8.93256,9.724155,10.12813,10.315065,10.421980000000001,10.590725
1983-06-01,8.78322380952381,9.62887142857143,10.078452380952381,10.297228571428573,10.424019047619048,10.565504761904762
1983-07-01,9.48385,10.243631818181818,10.597172727272728,10.737522727272728,10.80169090909091,10.977540909090909
1983-08-01,9.934155,10.773575,11.0947,11.231425,11.326155,11.437315
1983-09-01,10.287,11.106134782608695,11.423104347826087,11.576260869565218,11.695034782608696,11.789147826086957
1983-10-01,9.93152380952381,10.880952380952381,11.267471428571428,11.432357142857143,11.532642857142857,11.592142857142857
1983-11-01,9.624125,10.6804,11.122345,11.323699999999999,11.459875,11.551805
1983-12-01,9.679542105263158,10.770721052631579,11.234526315789475,11.430452631578946,11.547747368421051,11.617352631578948
1984-01-01,9.935742857142857,10.926733333333333,11.361633333333334,11.545095238095238,11.656680952380952,11.726857142857144
1984-02-01,9.789595238095238,10.771638095238094,11.21214761904762,11.400466666666667,11.507509523809524,11.562419047619048
1984-03-01,9.870121052631578,10.879852631578947,11.328936842105263,11.5167,11.631215789473684,11.702957894736842
1984-04-01,10.40155909090909,11.347840909090909,11.812740909090907,12.016772727272725,12.110427272727271,12.105895454545454
1984-05-01,10.72923,11.68442,12.125885,12.31302,12.386109999999999,12.34492
1984-06-01,11.370804545454545,12.42329090909091,12.833654545454545,12.999777272727272,13.086359090909092,13.11489090909091
1984-07-01,11.814833333333334,12.790733333333332,13.04547619047619,13.148014285714286,13.221409523809525,13.277642857142858
1984-08-01,11.831595238095238,12.657542857142857,12.860371428571428,12.956261904761906,13.031623809523811,13.091061904761906
1984-09-01,11.559804347826086,12.1758,12.301917391304347,12.345317391304347,12.374421739130435,12.396191304347825
1984-10-01,11.404431578947369,12.043505263157893,12.17111052631579,12.167273684210526,12.121552631578947,12.0635
1984-11-01,10.798618181818183,11.579172727272727,11.772736363636364,11.809222727272727,11.802572727272729,11.781045454545454
1984-12-01,9.777936842105262,10.790357894736841,11.138721052631578,11.282215789473684,11.393373684210525,11.522836842105264
1985-01-01,9.311815,10.53155,11.03003,11.248935,11.398515,11.524685000000002
1985-02-01,9.002838095238095,10.369214285714285,10.90914761904762,11.149819047619047,11.332842857142857,11.526128571428572
1985-03-01,9.284583333333334,10.500350000000001,11.058994444444444,11.286605555555555,11.393516666666667,11.561166666666667
1985-04-01,9.827704761904762,10.951142857142857,11.420271428571429,11.615028571428573,11.735614285714286,11.87362380952381
1985-05-01,9.158942857142858,10.409219047619048,10.941442857142857,11.2014,11.40882380952381,11.598104761904763
1985-06-01,8.50838181818182,9.750250000000001,10.313636363636364,10.623295454545454,10.91225909090909,11.219127272727272
1985-07-01,7.841880000000001,9.102554999999999,9.73031,10.029315,10.23991,10.597579999999999
1985-08-01,7.91205,9.2057,9.864272727272727,10.183036363636363,10.402527272727273,10.746036363636364
1985-09-01,8.042986363636365,9.341659090909092,9.93841818181818,10.21875,10.453240909090908,10.887536363636364
1985-10-01,8.059773684210526,9.35057894736842,9.937057894736842,10.230236842105262,10.5124,11.000068421052632
1985-11-01,8.043431818181817,9.224509090909091,9.804922727272727,10.105536363636363,10.382545454545454,10.865672727272727
1985-12-01,7.87407894736842,8.834852631578947,9.354252631578946,9.65617894736842,9.945257894736843,10.345563157894736
1986-01-01,7.683371428571428,8.388919047619048,8.83674761904762,9.145333333333333,9.469557142857143,9.826028571428571
1986-02-01,7.73692380952381,8.37637619047619,8.77827142857143,9.059109523809523,9.365566666666666,9.724390476190475
1986-03-01,7.611647368421052,8.092963157894737,8.404157894736842,8.638742105263157,8.915115789473685,9.247726315789473
1986-04-01,7.05676,7.38949,7.600785,7.766299999999999,7.974785,8.245185
1986-05-01,6.525063636363637,6.971859090909091,7.2050681818181825,7.343536363636363,7.479622727272727,7.639304545454545
1986-06-01,6.707761904761905,7.432447619047619,7.7148761904761916,7.840766666666667,7.9462,8.077561904761906
1986-07-01,6.828661904761906,7.5641952380952375,7.859161904761904,8.004771428571429,8.143657142857142,8.3186
1986-08-01,6.355031818181818,7.018809090909091,7.346313636363636,7.541818181818181,7.741413636363637,7.973918181818181
1986-09-01,5.978247619047619,6.638542857142857,7.030895238095238,7.298147619047619,7.5799714285714295,7.880709523809524
1986-10-01,5.849290476190476,6.736114285714287,7.226409523809524,7.554671428571429,7.905733333333333,8.287790476190477
