TIME_PERIOD,Y3M,Y6M,Y9M,Y1Y,Y2Y,Y3Y,Y4Y,Y5Y,Y6Y,Y7Y,Y8Y,Y10Y
2016-01-01,-0.3971004220875237,-0.3797443695195858,-0.3700235503138051,-0.3644644555718005,-0.3422476658272764,-0.2780974924356288,-0.16611704811244174,-0.022390605132688177,0.1352994685987426,0.29356095819922096,0.4440503729308903,0.7070568134696875
2016-02-01,-0.4529598544743251,-0.43793399017427204,-0.4296433847519219,-0.4249467266310221,-0.40432069529120174,-0.34249055025151937,-0.2342494486892313,-0.09483829063256906,0.058745928317658326,0.21352996025757914,0.3612909397394047,0.6208177493121968
2016-03-01,-0.4689412662158001,-0.46809561448632103,-0.47184545872630795,-0.47767593257405416,-0.49168422407318085,-0.46100658557381735,-0.38336447195235096,-0.27328599379365054,-0.14663710909645233,-0.015712909834351845,0.1114362686862494,0.3386248087903781
2016-04-01,-0.4838670976399962,-0.4793524957751095,-0.48027508186704393,-0.4840355002115719,-0.4955643686525174,-0.4678922239561129,-0.3950402754822485,-0.28947586634540334,-0.16618149738068538,-0.037259776555205806,0.08909315415633304,0.31721989081824503
2016-05-01,-0.5522343585362565,-0.5421350696129975,-0.5241289658380202,-0.5100189139526691,-0.49947558605033443,-0.48407223348021866,-0.4235065291025961,-0.3269246135003823,-0.21126473079291624,-0.08972755366363003,0.029338462755276015,0.24406110928170527
2016-06-01,-0.5541979602031867,-0.5424727271457707,-0.5362886145001681,-0.5334362858141668,-0.5270962897464067,-0.4962021693455364,-0.43051791117956756,-0.3372761660594747,-0.22761169596437342,-0.11139721427379924,0.0041810367240472,0.21716429504076998
2016-07-01,-0.5804940938384141,-0.5771876410695914,-0.5781929420592538,-0.5814167200270498,-0.5910216841340992,-0.5689535796247719,-0.510984574414507,-0.42731457199606593,-0.32989499890889074,-0.22825802671693582,-0.1287959123672923,0.05058799331636524
2016-08-01,-0.6584293916634452,-0.6509171606850767,-0.6494833052079406,-0.6517135022215266,-0.6668595253161432,-0.6575926516500342,-0.6137158113003479,-0.5429127412803971,-0.45635384601059215,-0.363570335152528,-0.2712426820132669,-0.10232619575515021
2016-09-01,-0.6483827438864718,-0.6397151599665719,-0.6368728170785406,-0.6376656287603762,-0.6490855914863035,-0.640737353328665,-0.6012684621489017,-0.5364401091204958,-0.4559757104367246,-0.3686002868806267,-0.2806749948242019,-0.11759047223188744
2016-10-01,-0.6672480355218788,-0.6612381262928437,-0.6604243364628921,-0.6626675832393718,-0.6750821708268422,-0.662123808909953,-0.6147057434337865,-0.5402280575517081,-0.44952177877391153,-0.35201222885904526,-0.2544688409495724,-0.07440725694078346
